Title,Activity Type,Description
Reveler,Seasonal Event,Seasonal event completions
Flawless,Crucible,Trials of Osiris flawless runs
Unbroken,Crucible,Competitive PvP achievements
Glorious,Crucible,Competitive PvP achievements
Deadeye,Crucible,Weapon mastery achievements
Champ,Crucible,Competitive PvP achievements
Ghost Writer,Seasonal,Seasonal story completions
Flamekeeper,Seasonal Event,Seasonal event completions
Star Baker,Seasonal Event,Seasonal event completions
Dredgen,Gambit,Gambit achievements
Iron Lord,Crucible,Iron Banner achievements
Conqueror,Nightfall,Grandmaster Nightfall completions
Heavy Metal,Crucible,Weapon mastery achievements 
